corp_code,fy,기업명,군,업종코드,rcept_no,is_amend,doc_name,doc_type,kam_section_found,no_kam_stated,n_kam,has_gc,gc_text,opinion,opinion_basis,auditor,n_sections,sections
00140131,2020,(주)키다리스튜디오,콘텐츠,631,20210318000957,0,연결감사보고서,연결,1,0,1,0,,적정,,2020년 12월 31일 까지 한울회계법인,5,감사의견근거|핵심감사사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00140131,2021,(주)키다리스튜디오,콘텐츠,631,20220317000876,0,연결감사보고서,연결,1,0,1,0,,적정,,,4,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00140131,2022,(주)키다리스튜디오,콘텐츠,631,20230316001551,0,연결감사보고서,연결,1,0,1,0,,적정,,2021년 12월 31일 까지 한울회계법인,4,감사의견근거|핵심감사사항|재무제표에 대한 경영진과 지배기구의 책임|재무제표감사에 대한 감사인의 책임
00140131,2023,(주)키다리스튜디오,콘텐츠,631,20240318000710,0,연결감사보고서,연결,1,0,1,0,,적정,,,5,감사의견근거|핵심감사사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00140131,2024,(주)키다리스튜디오,콘텐츠,631,20250319000526,0,연결감사보고서,연결,1,0,1,0,,적정,,,4,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00140131,2025,(주)키다리스튜디오,콘텐츠,631,20260317000560,0,연결감사보고서,연결,1,0,1,0,,적정,,,4,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00145437,2019,주식회사 아센디오,콘텐츠,591,20250819000195,1,감사보고서,별도,0,0,0,0,,적정,,2018년 12월 31일 까지 태율회계법인,7,강조사항|강조사항|감사의견근거|강조사항|재무제표에 대한 경영진과 지배기구의 책임|재무제표감사에 대한 감사인의 책임|기타사항
00145437,2020,주식회사 아센디오,콘텐츠,591,20210319000869,0,연결감사보고서,연결,1,0,1,1,"연결재무제표에 대한 주석 41에 주의를 기울여야 할 필요가 있습니다. 연결회사의 당기 중 당기순손실은 5,909백만원이며, 당기말 현재 누적결손금은 128,108백만원 입니다. 이러한 상황은 주석 41에서 설명하고 있는 다른 사항과 더불어 계속기업으로서의 존속능력에 유의적 의문을 제기할 만한 중요한 불확실성이 존재함을 나타냅니다. 우리의 의견은 이 사항으로부터 영향을 받지 아니합니다.",적정,,결자본변동표 및 연결현금흐름표는 태율회계법인,6,감사의견근거|계속기업 관련 중요한 불확실성|강조사항|핵심감사사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임
00145437,2021,주식회사 아센디오,콘텐츠,591,20220321001153,0,연결감사보고서,연결,1,0,1,0,,적정,,021년 12월 31일 까지 정진세림회계법인,4,감사의견근거|핵심감사사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임
00145437,2022,주식회사 아센디오,콘텐츠,591,20230320000827,0,연결감사보고서,연결,1,0,1,0,,적정,,021년 12월 31일 까지 정진세림회계법인,3,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임
