corp_code,기업명,종목코드,업종코드,업종,군
01210190,주식회사 모비릭스,348030,5821,게임 소프트웨어,게임
00643656,(주)위메이드맥스,101730,5821,게임 소프트웨어,게임
01067516,(주)골프존,215000,58219,게임 소프트웨어,게임
00348292,(주)한빛소프트,047080,5821,게임 소프트웨어,게임
01416235,고스트스튜디오(주),950190,58212,게임 소프트웨어,게임
00815767,(주)위메이드플레이,123420,5821,게임 소프트웨어,게임
00476498,(주)컴투스,078340,5821,게임 소프트웨어,게임
01010110,(주)더블유게임즈,192080,5821,게임 소프트웨어,게임
01137383,(주)카카오게임즈,293490,5821,게임 소프트웨어,게임
00983271,엔에이치엔(주),181710,5821,게임 소프트웨어,게임
00977696,(주)넥스쳐,194510,5821,게임 소프트웨어,게임
00397058,주식회사 엠게임,058630,5821,게임 소프트웨어,게임
01384787,(주)시프트업,462870,58212,게임 소프트웨어,게임
01290248,(주)스코넥엔터테인먼트,276040,5821,게임 소프트웨어,게임
00444329,(주)위메이드,112040,5821,게임 소프트웨어,게임
00904672,넷마블(주),251270,5821,게임 소프트웨어,게임
00760971,주식회사 크래프톤,259960,5821,게임 소프트웨어,게임
