corp_code,fy,rcept_no,rcept_dt,report_nm,is_amend,기업명,군,업종코드,cand_rank
00154426,2023,20240313001724,20240313,사업보고서 (2023.12),0,(주)아이에이치큐,콘텐츠,591,0
00154426,2024,20250321000838,20250321,사업보고서 (2024.12),0,(주)아이에이치큐,콘텐츠,591,0
00154426,2025,20260320000772,20260320,사업보고서 (2025.12),0,(주)아이에이치큐,콘텐츠,591,0
00173449,2019,20200330002669,20200330,사업보고서 (2019.12),0,(주)빌리언스,콘텐츠,901,0
00173449,2020,20210617000315,20210617,[기재정정]사업보고서 (2020.12),1,(주)빌리언스,콘텐츠,901,0
00173449,2020,20210323000833,20210323,사업보고서 (2020.12),0,(주)빌리언스,콘텐츠,901,1
00173449,2021,20220325001065,20220325,[기재정정]사업보고서 (2021.12),1,(주)빌리언스,콘텐츠,901,0
00173449,2021,20220323001016,20220323,사업보고서 (2021.12),0,(주)빌리언스,콘텐츠,901,1
00173449,2022,20230323000515,20230323,사업보고서 (2022.12),0,(주)빌리언스,콘텐츠,901,0
00173449,2023,20240328001602,20240328,사업보고서 (2023.12),0,(주)빌리언스,콘텐츠,901,0
00173449,2023,20240321001993,20240322,사업보고서제출기한연장신고서 (2023.12),0,(주)빌리언스,콘텐츠,901,1
00173449,2024,20250312001143,20250313,사업보고서 (2024.12),0,(주)빌리언스,콘텐츠,901,0
00173449,2025,20260323000776,20260323,사업보고서 (2025.12),0,(주)빌리언스,콘텐츠,901,0
00200275,2019,20201224000488,20201224,[기재정정]사업보고서 (2019.12),1,(주)와이티엔,콘텐츠,591,0
00200275,2019,20200330004323,20200330,사업보고서 (2019.12),0,(주)와이티엔,콘텐츠,591,1
00200275,2020,20210318000622,20210318,사업보고서 (2020.12),0,(주)와이티엔,콘텐츠,591,0
00200275,2021,20220323001131,20220323,사업보고서 (2021.12),0,(주)와이티엔,콘텐츠,591,0
00200275,2022,20230322000905,20230322,사업보고서 (2022.12),0,(주)와이티엔,콘텐츠,591,0
00200275,2023,20240321000526,20240321,사업보고서 (2023.12),0,(주)와이티엔,콘텐츠,591,0
00200275,2024,20250520000070,20250520,[기재정정]사업보고서 (2024.12),1,(주)와이티엔,콘텐츠,591,0
00200275,2024,20250320001540,20250320,사업보고서 (2024.12),0,(주)와이티엔,콘텐츠,591,1
00200275,2025,20260319001233,20260319,사업보고서 (2025.12),0,(주)와이티엔,콘텐츠,591,0
00203315,2019,20200330002955,20200330,사업보고서 (2019.12),0,(주)콘텐트리중앙,콘텐츠,591,0
00203315,2020,20210317000814,20210317,사업보고서 (2020.12),0,(주)콘텐트리중앙,콘텐츠,591,0
00203315,2021,20220323001342,20220323,사업보고서 (2021.12),0,(주)콘텐트리중앙,콘텐츠,591,0
00203315,2022,20230321001329,20230321,사업보고서 (2022.12),0,(주)콘텐트리중앙,콘텐츠,591,0
00203315,2023,20240320001970,20240320,사업보고서 (2023.12),0,(주)콘텐트리중앙,콘텐츠,591,0
00203315,2024,20250320001749,20250320,사업보고서 (2024.12),0,(주)콘텐트리중앙,콘텐츠,591,0
00203315,2025,20260318001520,20260318,사업보고서 (2025.12),0,(주)콘텐트리중앙,콘텐츠,591,0
00204642,2019,20200330000512,20200330,사업보고서 (2019.12),0,(주)티비씨,콘텐츠,60210,0
00204642,2020,20210317000389,20210317,사업보고서 (2020.12),0,(주)티비씨,콘텐츠,60210,0
00204642,2021,20220316000640,20220316,사업보고서 (2021.12),0,(주)티비씨,콘텐츠,60210,0
00204642,2022,20230317000442,20230317,[기재정정]사업보고서 (2022.12),1,(주)티비씨,콘텐츠,60210,0
00204642,2022,20230316001122,20230316,[기재정정]사업보고서 (2022.12),1,(주)티비씨,콘텐츠,60210,1
00204642,2022,20230315001317,20230315,사업보고서 (2022.12),0,(주)티비씨,콘텐츠,60210,2
00204642,2023,20240321001617,20240321,사업보고서 (2023.12),0,(주)티비씨,콘텐츠,60210,0
00204642,2024,20250513000334,20250513,[기재정정]사업보고서 (2024.12),1,(주)티비씨,콘텐츠,60210,0
00204642,2024,20250327000933,20250327,[기재정정]사업보고서 (2024.12),1,(주)티비씨,콘텐츠,60210,1
00204642,2024,20250320000674,20250320,사업보고서 (2024.12),0,(주)티비씨,콘텐츠,60210,2
00204642,2025,20260319000683,20260319,사업보고서 (2025.12),0,(주)티비씨,콘텐츠,60210,0
00207755,2019,20200330002214,20200330,사업보고서 (2019.12),0,(주)지에스홈쇼핑,콘텐츠,602,0
00207755,2020,20210317000112,20210317,사업보고서 (2020.12),0,(주)지에스홈쇼핑,콘텐츠,602,0
00208134,2019,20200330000904,20200330,사업보고서 (2019.12),0,(주)케이엔엔,콘텐츠,60210,0
00208134,2020,20210218001114,20210218,사업보고서 (2020.12),0,(주)케이엔엔,콘텐츠,60210,0
00208134,2021,20220314000905,20220314,사업보고서 (2021.12),0,(주)케이엔엔,콘텐츠,60210,0
00208134,2022,20230315001086,20230315,사업보고서 (2022.12),0,(주)케이엔엔,콘텐츠,60210,0
00208134,2023,20240313001296,20240313,사업보고서 (2023.12),0,(주)케이엔엔,콘텐츠,60210,0
00208134,2024,20250313000812,20250313,사업보고서 (2024.12),0,(주)케이엔엔,콘텐츠,60210,0
00208134,2025,20260316000737,20260316,사업보고서 (2025.12),0,(주)케이엔엔,콘텐츠,60210,0
00222532,2019,20200330004028,20200330,사업보고서 (2019.12),0,(주)엘지헬로비전,콘텐츠,60222,0
00222532,2020,20210304000345,20210304,사업보고서 (2020.12),0,(주)엘지헬로비전,콘텐츠,60222,0
00222532,2021,20220303000727,20220303,사업보고서 (2021.12),0,(주)엘지헬로비전,콘텐츠,60222,0
00222532,2022,20230321000780,20230321,[기재정정]사업보고서 (2022.12),1,(주)엘지헬로비전,콘텐츠,60222,0
00222532,2022,20230302000630,20230302,사업보고서 (2022.12),0,(주)엘지헬로비전,콘텐츠,60222,1
00222532,2023,20240306000614,20240306,사업보고서 (2023.12),0,(주)엘지헬로비전,콘텐츠,60222,0
00222532,2024,20250306000713,20250306,사업보고서 (2024.12),0,(주)엘지헬로비전,콘텐츠,60222,0
