corp_code,기업명,군,fy,has_report,has_gc,adverse,opinion,auditor,n_kam,sig_t1,why_t1,sig_t2,why_t2,sig_2y,sadv_t1,smiss_t1,sadv_t2,smiss_t2,sigB_t1,sigB_t2,sigB_2y
145437,주식회사 아센디오,콘텐츠,2022,1,0,0,적정,021년 12월 31일 까지 정진세림회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145437,주식회사 아센디오,콘텐츠,2023,1,0,0,적정,022년 12월 31일 까지 정진세림회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
145437,주식회사 아센디오,콘텐츠,2024,1,0,0,적정,651(논현동) 삼원빌딩 7층 정동회계법인,1,,,,,,,,,,,,
146427,한주에이알티(주),콘텐츠,2019,1,0,0,적정,,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146427,한주에이알티(주),콘텐츠,2020,1,0,0,적정,,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146427,한주에이알티(주),콘텐츠,2021,1,0,0,적정,021년 12월 31일 까지 정진세림회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146427,한주에이알티(주),콘텐츠,2022,1,0,0,적정,2022년 12월 31일 까지 선진회계법인,1,0.0,,1.0,GC 재기재,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146427,한주에이알티(주),콘텐츠,2023,1,0,0,적정,2022년 12월 31일 까지 선진회계법인,1,1.0,GC 재기재,,,1.0,0.0,0.0,,,0.0,,0.0
146427,한주에이알티(주),콘텐츠,2024,1,1,0,적정,2023년 12월 31일 까지 선진회계법인,1,,,,,,,,,,,,
154426,(주)아이에이치큐,콘텐츠,2019,1,0,0,적정,2018년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154426,(주)아이에이치큐,콘텐츠,2020,1,0,0,적정,2019년 12월 31일 까지 삼일회계법인,1,0.0,,1.0,"비적정의견, GC 재기재",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
154426,(주)아이에이치큐,콘텐츠,2021,1,0,0,적정,2020년 12월 31일 까지 삼일회계법인,1,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
154426,(주)아이에이치큐,콘텐츠,2022,1,1,1,의견거절,2021년 12월 31일 까지 삼일회계법인,0,1.0,"비적정의견, GC 재기재",1.0,비적정의견,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
154426,(주)아이에이치큐,콘텐츠,2023,1,1,1,의견거절,료되는 보고기간의 연결재무제표는 삼일회계법인,0,1.0,비적정의견,,,1.0,1.0,0.0,,,1.0,,1.0
154426,(주)아이에이치큐,콘텐츠,2024,1,0,1,의견거절,,0,,,,,,,,,,,,
173449,(주)빌리언스,콘텐츠,2019,1,0,0,적정,2019년 12월 31일 까지 대현회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
